,ID_SKU_VENTA,DESCR_CENDIST,DELTA
0,515,ANTOFAGASTA,0.490173106
1,515,ARICA,-0.2322049
2,515,CALAMA,-0.732514793
3,515,CASTRO,-0.496201799
4,515,CHILLAN,-0.844170748
5,515,COPIAPO,1.11E-16
6,515,COQUIMBO,0.213679068
7,515,COYHAIQUE,5.55E-17
8,515,ILLAPEL,-0.414836807
9,515,IQUIQUE,0.131653707
10,515,LLAY LLAY,-0.129480136
11,515,LOS ANGELES,-1.682142403
12,515,OSORNO,-0.78920764
13,515,OVALLE,-0.411198021
14,515,PUERTO MONTT,0.350084056
15,515,SANTIAGO SUR,0
16,515,TALCA,8.88E-16
17,515,TALCAHUANO,2.070995773
18,515,TEMUCO,4.44E-16
19,515,VALDIVIA,0.672066635
20,592,ANTOFAGASTA,1.391372936
21,592,ARICA,-2.306827026
22,592,CALAMA,-1.995887364
23,592,CASTRO,-4.254411944
24,592,CHILLAN,-15.01561961
25,592,COPIAPO,3.55E-15
26,592,COQUIMBO,13.3143768
27,592,COYHAIQUE,0
28,592,CURAUMA,27.87418115
29,592,ILLAPEL,-9.464018395
30,592,IQUIQUE,1.974875356
31,592,LLAY LLAY,-22.60115808
32,592,LOS ANGELES,-16.98287914
33,592,OSORNO,-15.83110384
34,592,OVALLE,-15.0546448
35,592,PUERTO MONTT,3.497885343
36,592,RANCAGUA,-23.61618045
37,592,SANTIAGO SUR,21.93211518
38,592,TALCA,0
39,592,TALCAHUANO,28.89223644
40,592,TEMUCO,1.07E-14
41,592,VALDIVIA,14.88334935
42,595,ANTOFAGASTA,0.464141684
43,595,ARICA,-0.580967377
44,595,CALAMA,-0.794076071
45,595,CASTRO,-2.579430445
46,595,CHILLAN,-2.886601212
47,595,COPIAPO,-4.44E-16
48,595,COQUIMBO,1.544904109
49,595,COYHAIQUE,0
50,595,CURAUMA,3.494729376
51,595,ILLAPEL,-1.879165135
52,595,IQUIQUE,0.324565971
53,595,LLAY LLAY,-3.905960203
54,595,LOS ANGELES,-3.460236157
55,595,OSORNO,-4.586763065
56,595,OVALLE,-3.266486823
57,595,PUERTO MONTT,1.99070257
58,595,RANCAGUA,-5.107735522
59,595,SANTIAGO SUR,3.59649724
60,595,TALCA,-8.88E-16
61,595,TALCAHUANO,5.256507227
62,595,TEMUCO,1.78E-15
63,595,VALDIVIA,3.530534435
64,622,ANTOFAGASTA,21.89560753
65,622,ARICA,-16.17336232
66,622,CALAMA,-24.7836866
67,622,CASTRO,-20.2799701
68,622,CHILLAN,-31.24466717
69,622,COPIAPO,3.55E-15
70,622,COQUIMBO,7.518598553
71,622,COYHAIQUE,0
72,622,CURAUMA,13.63363458
73,622,ILLAPEL,-3.559102389
74,622,IQUIQUE,13.40496758
75,622,LLAY LLAY,-13.3618548
76,622,LOS ANGELES,-16.30101133
77,622,OSORNO,-41.6248974
78,622,OVALLE,-9.434838617
79,622,PUERTO MONTT,18.61916527
80,622,RANCAGUA,-26.63109961
81,622,SANTIAGO SUR,22.49491835
82,622,TALCA,0
83,622,TALCAHUANO,42.10443162
84,622,TEMUCO,0
85,622,VALDIVIA,40.16836113
86,763,ANTOFAGASTA,13.76699454
87,763,ARICA,-1.681911135
88,763,CALAMA,-15.17017118
89,763,COPIAPO,6.94E-18
90,763,COQUIMBO,-4.44E-16
91,763,CURAUMA,1.205871511
92,763,IQUIQUE,1.075708719
93,763,LLAY LLAY,-1.812275245
94,763,RANCAGUA,-2.018534431
95,763,SANTIAGO SUR,1.849936761
96,763,TALCAHUANO,0
97,765,ANTOFAGASTA,1.603625723
98,765,ARICA,-3.227287193
99,765,CALAMA,-1.888033312
100,765,CASTRO,-12.17798242
101,765,CHILLAN,-0.73859364
102,765,COPIAPO,0
103,765,COQUIMBO,2.858518523
104,765,COYHAIQUE,0
105,765,CURAUMA,17.51944429
106,765,ILLAPEL,-4.329418127
107,765,IQUIQUE,2.472395151
108,765,LLAY LLAY,-18.32426347
109,765,LOS ANGELES,-6.585615376
110,765,OSORNO,-41.46570588
111,765,OVALLE,-4.336098195
112,765,PUERTO MONTT,9.908074058
113,765,RANCAGUA,-11.12570688
114,765,SANTIAGO SUR,9.688055067
115,765,TALCA,8.88E-16
116,765,TALCAHUANO,4.757065759
117,765,TEMUCO,-1.78E-15
118,765,VALDIVIA,40.37490856
119,799,ANTOFAGASTA,0.350201472
120,799,ARICA,-0.399878272
121,799,CALAMA,-0.484057757
122,799,CASTRO,-0.827875988
123,799,CHILLAN,-1.030919125
124,799,COPIAPO,0
125,799,COQUIMBO,0.101983517
126,799,COYHAIQUE,0
127,799,CURAUMA,1.234285921
128,799,ILLAPEL,-0.355165774
129,799,IQUIQUE,0.252179127
130,799,LLAY LLAY,-1.377002402
131,799,LOS ANGELES,-1.765934971
132,799,OSORNO,-1.722178622
133,799,OVALLE,-0.220328656
134,799,PUERTO MONTT,0.627699953
135,799,RANCAGUA,-2.706432202
136,799,SANTIAGO SUR,2.388378635
137,799,TALCA,4.44E-16
138,799,TALCAHUANO,2.161739945
139,799,TEMUCO,8.88E-16
140,799,VALDIVIA,1.572569748
141,810,ANTOFAGASTA,0.778732228
142,810,ARICA,-0.502985354
143,810,CALAMA,-0.964123588
144,810,CASTRO,-0.691381861
145,810,CHILLAN,-1.060570178
146,810,COPIAPO,0
147,810,COQUIMBO,0.385268438
148,810,COYHAIQUE,0
149,810,CURAUMA,2.136464637
150,810,ILLAPEL,-0.405004096
151,810,IQUIQUE,0.358957881
152,810,LLAY LLAY,-2.18158947
153,810,LOS ANGELES,-1.013884157
154,810,OSORNO,-1.118410998
155,810,OVALLE,-0.729514952
156,810,PUERTO MONTT,0.555073337
157,810,RANCAGUA,-3.432546929
158,810,SANTIAGO SUR,3.028880054
159,810,TALCA,0
160,810,TALCAHUANO,1.519251087
161,810,TEMUCO,2.22E-16
162,810,VALDIVIA,1.004809521
163,816,ANTOFAGASTA,0.651043926
164,816,ARICA,-0.655724385
165,816,CALAMA,-0.833149177
166,816,CASTRO,-0.560688597
167,816,CHILLAN,-1.394359994
168,816,COPIAPO,0
169,816,COQUIMBO,0.335377981
170,816,COYHAIQUE,0
171,816,CURAUMA,1.824254537
172,816,ILLAPEL,-0.352359282
173,816,IQUIQUE,0.543526673
174,816,LLAY LLAY,-1.936911086
175,816,LOS ANGELES,-2.013232293
176,816,OSORNO,-1.040516975
177,816,OVALLE,-0.65593527
178,816,PUERTO MONTT,0.444831728
179,816,RANCAGUA,-2.809554231
180,816,SANTIAGO SUR,2.472584151
181,816,TALCA,-4.44E-16
182,816,TALCAHUANO,2.707551823
183,816,TEMUCO,0
184,816,VALDIVIA,0.884934161
185,817,ANTOFAGASTA,0.077211422
186,817,ARICA,-0.466779586
187,817,CALAMA,-0.161100203
188,817,CASTRO,-0.762587728
189,817,CHILLAN,-8.432420895
190,817,COPIAPO,-4.44E-16
191,817,COQUIMBO,0.654491793
192,817,CURAUMA,8.80384071
193,817,ILLAPEL,-0.423741256
194,817,IQUIQUE,0.389819041
195,817,LLAY LLAY,-8.860552197
196,817,LOS ANGELES,-3.863127907
197,817,OSORNO,-1.201365718
198,817,OVALLE,-0.850827735
199,817,PUERTO MONTT,0.640841914
200,817,RANCAGUA,-4.981159266
201,817,SANTIAGO SUR,4.512825594
202,817,TALCA,7.11E-15
203,817,TALCAHUANO,11.4419151
204,817,TEMUCO,0
205,817,VALDIVIA,0.991316201
206,826,ANTOFAGASTA,0.848501405
207,826,ARICA,-0.984291399
208,826,CALAMA,-1.019389023
209,826,CASTRO,-0.612016511
210,826,CHILLAN,-0.748292903
211,826,COPIAPO,0
212,826,COQUIMBO,0.235254911
213,826,COYHAIQUE,-5.55E-17
214,826,CURAUMA,1.357933296
215,826,ILLAPEL,-0.424275061
216,826,IQUIQUE,0.848846257
